127.0.0.1 - - [18/Jul/2017:14:13:52 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 4347
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:53 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:54 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:13:54 +0530] "GET /FrontEndProjectTwo/images/students.jpg HTTP/1.1" 200 1200389
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:14:10 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 4347
