0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:59:22 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:18 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:19 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:08:21 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:31 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:32 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:33 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:48:33 +0530] "GET /BackEndProjectTwo/getalljobs HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:56 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:13:50:57 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
