127.0.0.1 - - [23/Jun/2017:13:43:25 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:43:26 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:43:26 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:43:26 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:43:26 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:43:38 +0530] "GET /FrontEndProjectTwo/views/RegistrationForm.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:44:07 +0530] "POST /BackEndProjectTwo/registration HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:44:07 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:45:46 +0530] "POST /BackEndProjectTwo/registration HTTP/1.1" 500 57
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:07 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:07 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:07 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:07 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:08 +0530] "GET /FrontEndProjectTwo/views/RegistrationForm.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:50:31 +0530] "POST /BackEndProjectTwo/registration HTTP/1.1" 500 57
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:51:48 +0530] "POST /BackEndProjectTwo/registration HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:51:48 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:53:17 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:53:17 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:53:17 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:53:17 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:13:53:18 +0530] "GET /FrontEndProjectTwo/views/RegistrationForm.html HTTP/1.1" 200 629
