127.0.0.1 - - [14/Jul/2017:00:38:55 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/blogcontroller.js HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/services/blogservice.js HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/controllers/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:56 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:57 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:38:57 +0530] "GET /FrontEndProjectTwo/images/students.jpg HTTP/1.1" 200 1200389
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:06 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:07 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:07 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:07 +0530] "GET /FrontEndProjectTwo/images/students.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:08 +0530] "GET /FrontEndProjectTwo/images/students1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:19 +0530] "POST /BackEndProjectTwo/login HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:23 +0530] "GET /FrontEndProjectTwo/views/FriendList.html HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:23 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:23 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:23 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:39:26 +0530] "GET /wall/Suzie HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Jul/2017:00:41:39 +0530] "GET /wall/bill HTTP/1.1" 404 1090
