127.0.0.1 - - [22/Jun/2017:15:11:42 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:11:43 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:13:57 +0530] "GET /FrontEndProjectTwo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:13:57 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:13:57 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:13:57 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:13:57 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /FrontEndProjectTwo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:16:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:19 +0530] "GET /FrontEndProjectTwo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:19 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:19 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:19 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:19 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:22 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:21:22 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:22 +0530] "GET /FrontEndProjectTwo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:22 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:22 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:34 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:34 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:34 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:34 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:23:34 +0530] "GET /FrontEndProjectTwo/views/RegistrationForm.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:29 +0530] "GET /FrontEndProjectTwo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:29 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:29 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:29 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:29 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:25:30 +0530] "GET /FrontEndProjectTwo/views/RegistrationForm.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:26:39 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:26:39 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:26:39 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [22/Jun/2017:15:26:57 +0530] "POST /BackEndProjectTwo/registration HTTP/1.1" 201 -
