127.0.0.1 - - [24/Jul/2017:13:57:51 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /FrontEndProjectTwo/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /FrontEndProjectTwo/services/messageservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /FrontEndProjectTwo/controllers/messagecontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:00 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:01 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:01 +0530] "GET /FrontEndProjectTwo/images/students.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:01 +0530] "GET /FrontEndProjectTwo/views/ViewMessages.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:01 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 401 46
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:26 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:26 +0530] "GET /BackEndProjectTwo/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:40 +0530] "POST /BackEndProjectTwo/login HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:41 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /FrontEndProjectTwo/views/FriendList.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:48 +0530] "GET /BackEndProjectTwo/getimage/Jerry HTTP/1.1" 200 664835
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:58:50 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:00 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:10 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:20 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:30 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:40 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:13:59:50 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:00:08 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:00:30 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:00:45 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:01:40 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:13 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:20 +0530] "GET /BackEndProjectTwo/getimage/Jerry HTTP/1.1" 200 664835
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:22 +0530] "GET /BackEndProjectTwo/viewFriend/Elaine HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:23 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:31 +0530] "GET /BackEndProjectTwo/getmessage/Jerry HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:33 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:34 +0530] "GET /BackEndProjectTwo/getimage/Jerry HTTP/1.1" 200 664835
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:37 +0530] "GET /BackEndProjectTwo/viewFriend/Jerry HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:41 +0530] "GET /BackEndProjectTwo/getmessage/Jerry HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:43 +0530] "GET /BackEndProjectTwo/getmessage/Elaine HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/controllers/messagecontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:45 +0530] "GET /FrontEndProjectTwo/services/messageservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /FrontEndProjectTwo/views/FriendList.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:47 +0530] "GET /BackEndProjectTwo/getimage/Jerry HTTP/1.1" 200 664835
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:02:48 +0530] "GET /BackEndProjectTwo/viewFriend/Elaine HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:03 +0530] "GET /FrontEndProjectTwo/views/Chat.html HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:03 +0530] "GET /FrontEndProjectTwo/assets/common/portfolio.css HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:05 +0530] "GET /BackEndProjectTwo/portfolio/info HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:05 +0530] "GET /BackEndProjectTwo/portfolio/482/uep74066/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:34 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:34 +0530] "GET /BackEndProjectTwo/getalljobs HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:37 +0530] "GET /BackEndProjectTwo/viewjob/1 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:38 +0530] "GET /BackEndProjectTwo/viewjob/2 HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:41 +0530] "GET /BackEndProjectTwo/viewjob/1 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:46 +0530] "GET /BackEndProjectTwo/viewjob/2 HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /FrontEndProjectTwo/views/SuggestedUsersList.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Buser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Buser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:53 +0530] "GET /BackEndProjectTwo/getimage/Khaleesi HTTP/1.1" 200 160902
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:58 +0530] "GET /FrontEndProjectTwo/views/Wall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:58 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BwallName%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:58 +0530] "GET /BackEndProjectTwo/viewFriend/Akshay HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:58 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:03:58 +0530] "GET /BackEndProjectTwo/wall/Akshay HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:04:21 +0530] "PUT /BackEndProjectTwo/addcommentwall HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/friendsuggestions HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/viewfriends HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/pendingrequests HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/%7B%7Bfriend.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/Akshay HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:07 +0530] "GET /BackEndProjectTwo/getimage/Jerry HTTP/1.1" 200 664835
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:08 +0530] "GET /BackEndProjectTwo/viewFriend/Elaine HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:14 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BwallName%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:14 +0530] "GET /BackEndProjectTwo/viewFriend/Elaine HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:14 +0530] "GET /BackEndProjectTwo/getimage/Elaine HTTP/1.1" 200 65960
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:08:14 +0530] "GET /BackEndProjectTwo/wall/Elaine HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:14:12:58 +0530] "GET /FrontEndProjectTwo/services/blogservice.js HTTP/1.1" 304 -
